,Date, Open, High, Low, Close, Volume,change,Senti
0,05/12/21,168.54,169.8,167.95,168.2,6758316,0.0,0
1,05/11/21,170.65,170.87,168.28,168.88,8217953,0.6800000000000068,1
2,05/10/21,169.9,171.53,169.23,170.27,8357486,1.3900000000000148,1
3,05/07/21,168.3,169.18,167.83,168.5,5316209,-1.7700000000000102,-1
4,05/06/21,166.79,167.885,166.24,167.74,5529946,-0.7599999999999909,-1
5,05/05/21,167.5,168.4,166.785,167.07,7792313,-0.6700000000000159,-1
6,05/04/21,164.83,167.85,164.67,167.77,10179540,0.700000000000017,1
7,05/03/21,163.6,165.32,163.12,165.21,6594230,-2.5600000000000023,-1
8,04/30/21,164.15,164.33,162.52,162.73,9079081,-2.480000000000018,-1
9,04/29/21,161.9,164.26,161.81,164.2,6394287,1.4699999999999989,1
10,04/28/21,162.86,163.2,161.65,161.98,7448016,-2.219999999999999,-1
11,04/27/21,163.76,163.91,162.47,163.18,6217651,1.200000000000017,1
12,04/26/21,165.21,165.41,163.76,164.12,6027788,0.9399999999999977,1
13,04/23/21,164.53,166.06,163.9996,165.52,6033245,1.4000000000000057,1
14,04/22/21,165.83599999999998,166.28,164.62,165.18,7232981,-0.3400000000000034,-1
15,04/21/21,166.37,166.91,165.29,166.59,6333210,1.4099999999999966,1
16,04/20/21,161.0,167.7899,161.0,166.48,14050660,-0.11000000000001364,-1
17,04/19/21,162.5,163.11,160.84,162.69,8353528,-3.789999999999992,-1
18,04/16/21,161.34,162.51,160.56,162.24,9049432,-0.44999999999998863,-1
19,04/15/21,160.72,162.39,160.23,160.39,7524568,-1.8500000000000227,-1
20,04/14/21,157.83,160.11,157.54,159.92,7718321,-0.46999999999999886,-1
21,04/13/21,156.86,159.93,156.53,159.48,18424080,-0.4399999999999977,-1
22,04/12/21,161.09,162.08,160.34,161.64,5023037,2.1599999999999966,1
23,04/09/21,162.12,162.93,159.78,161.25,8418332,-0.38999999999998636,-1
24,04/08/21,164.0,164.1116,162.85,162.97,5039397,1.7199999999999989,1
25,04/07/21,163.55,164.28,163.316,163.61,4608010,0.6400000000000148,1
26,04/06/21,164.08,164.52,163.0,163.39,5074239,-0.22000000000002728,-1
27,04/05/21,163.64,164.75,162.66,163.43,7387123,0.040000000000020464,1
28,04/01/21,162.6,163.84,162.26,162.83,7229717,-0.5999999999999943,-1
29,03/31/21,164.96,165.39,163.7,164.35,8281521,1.5199999999999818,1
30,03/30/21,165.02,165.66,164.23,165.01,7236347,0.6599999999999966,1
31,03/29/21,163.83,167.03,163.6314,166.04,8535084,1.0300000000000011,1
32,03/26/21,162.09,165.1,161.38,164.93,7619247,-1.1099999999999852,-1
33,03/25/21,162.44,162.45,160.64,161.97,6269774,-2.960000000000008,-1
34,03/24/21,160.1,162.48,159.82,161.91,6370143,-0.060000000000002274,-1
35,03/23/21,160.21,161.2004,158.88,160.35,7178323,-1.5600000000000023,-1
36,03/22/21,158.31,160.65,158.0,160.5,7544052,0.15000000000000568,1
37,03/19/21,160.69,161.5,159.47,160.04,14891520,-0.46000000000000796,-1
38,03/18/21,160.21,161.49,159.96,160.47,4801794,0.4300000000000068,1
39,03/17/21,160.83,161.73,159.53,160.77,6001421,0.30000000000001137,1
40,03/16/21,160.46,161.68,160.24,161.37,6369144,0.5999999999999943,1
41,03/15/21,159.75,160.66,158.5,160.42,5526008,-0.950000000000017,-1
42,03/12/21,159.28,160.31,159.19,159.6,5474849,-0.8199999999999932,-1
43,03/11/21,159.54,160.63,158.92,159.14,6305584,-0.46000000000000796,-1
44,03/10/21,158.82,159.895,157.36,159.15,6635577,0.010000000000019327,1
45,03/09/21,156.89,160.75,156.89,157.7,7461267,-1.450000000000017,-1
46,03/08/21,157.0,159.33,155.98,157.4,6546688,-0.29999999999998295,-1
47,03/05/21,153.98,156.69,153.13,156.1,8331633,-1.3000000000000114,-1
48,03/04/21,155.99,156.1,151.47,153.07,11033180,-3.030000000000001,-1
49,03/03/21,158.25,158.9,156.0604,156.22,8499626,3.1500000000000057,1
50,03/02/21,159.78,160.78,158.6,159.02,7610885,2.8000000000000114,1
51,03/01/21,161.45,161.53,159.09,159.32,10551380,0.29999999999998295,1
52,02/26/21,162.0,162.41,157.97,158.46,14417550,-0.8599999999999852,-1
53,02/25/21,163.13,163.7,161.99,162.76,9719715,4.299999999999983,1
54,02/24/21,162.4,164.39,160.92,162.59,10286110,-0.1699999999999875,-1
55,02/23/21,161.48,163.19,160.4,160.44,7042829,-2.1500000000000057,-1
56,02/22/21,161.87,162.54,160.29,161.87,6447105,1.4300000000000068,1
57,02/19/21,165.6,165.96,162.91,162.98,8190883,1.1099999999999852,1
58,02/18/21,164.96,166.16,164.3,165.74,5191590,2.7600000000000193,1
59,02/17/21,164.97,166.09,164.36,165.66,6680909,-0.0800000000000125,-1
60,02/16/21,166.58,167.05,164.64,165.07,5656092,-0.5900000000000034,-1
61,02/12/21,164.4,166.85,164.0,166.58,4413066,1.5100000000000193,1
62,02/11/21,167.0,167.38,165.6,166.06,4871250,-0.5200000000000102,-1
63,02/10/21,167.89,167.94,165.7,166.81,5921312,0.75,1
64,02/09/21,165.2,166.59,164.97,166.27,5544214,-0.539999999999992,-1
65,02/08/21,165.03,165.9206,163.88,164.92,6035341,-1.3500000000000227,-1
66,02/05/21,164.86,165.44,163.8601,164.45,9495309,-0.46999999999999886,-1
67,02/04/21,161.0,162.09,159.76,161.99,7758128,-2.4599999999999795,-1
68,02/03/21,160.94,161.52,159.57,160.5,8601883,-1.490000000000009,-1
69,02/02/21,163.38,163.66,161.18,161.25,11443250,0.75,1
70,02/01/21,165.31,165.31,162.6,162.71,9971395,1.460000000000008,1
71,01/29/21,164.26,166.0,160.5527,163.13,22505859,0.4199999999999875,1
72,01/28/21,168.2,170.86,167.8,169.16,8944399,6.030000000000001,1
73,01/27/21,169.12,170.92,167.45,167.88,14207290,-1.2800000000000011,-1
74,01/26/21,169.7,173.65,169.39,170.48,14205690,2.5999999999999943,1
75,01/25/21,165.01,166.09,163.66,165.98,9924438,-4.5,-1
76,01/22/21,162.36,165.155,161.87,163.55,8137018,-2.4299999999999784,-1
77,01/21/21,161.32,162.48,160.06,161.73,6822770,-1.8200000000000216,-1
78,01/20/21,163.2,164.14,161.8,162.38,6839850,0.6500000000000057,1
79,01/19/21,162.0,163.04,161.1,162.78,9057555,0.4000000000000057,1
80,01/15/21,160.3,161.4058,159.1058,160.3,7630813,-2.4799999999999898,-1
81,01/14/21,160.45,161.95,159.61,160.65,10030790,0.3499999999999943,1
82,01/13/21,158.23,158.455,156.75,157.89,6643065,-2.7600000000000193,-1
83,01/12/21,159.15,159.66,157.33,158.13,6903189,0.2400000000000091,1
84,01/11/21,160.56,161.32,158.77,159.37,7068176,1.240000000000009,1
